"Nothing in life is to be feared, it is only to be understood. Now is the time to understand more, so that we may fear less.",
He who has a why to live can bear almost any how.,Life
"Do not dwell in the past, do not dream of the future, concentrate the mind on the present moment.",Life
"We do not remember days, we remember moments.",Life
Life is what happens while you are busy making other plans.,Life
"The truth is you don't know what is going to happen tomorrow. Life is a crazy ride, and nothing is guaranteed.",Life
Sometimes life hits you in the head with a brick. Don't lose faith.,Life
Never be bullied into silence. Never allow yourself to be made a victim. Accept no one's definition of your life; define yourself.,Life
"Life is a dream for the wise, a game for the fool, a comedy for the rich, a tragedy for the poor.",Life
"Open your eyes, look within. Are you satisfied with the life you're living?",Life
"When I stand before God at the end of my life, I would hope that I would not have a single bit of talent left, and could say, 'I used everything you gave me'.",Life
Life is a song - sing it. Life is a game - play it. Life is a challenge - meet it. Life is a dream - realize it. Life is a sacrifice - offer it. Life is love - enjoy it.,Life
Every man dies. Not every man really lives.,Life
"We must be willing to let go of the life we have planned, so as to have the life that is waiting for us.",Life
"I went to the woods because I wished to live deliberately, to front only the essential facts of life, and see if I could not learn what it had to teach, and not, when I came to die, discover that I had not lived.",Life
"Don't go through life, grow through life.",Life
The purpose of life is a life of purpose.,Life
"Ships that pass in the night, and speak each other in passing, only a signal shown, and a distant voice in the darkness; So on the ocean of life, we pass and speak one another, only a look and a voice, then darkness again and a silence.",Life
Life is a mirror and will reflect back to the thinker what he thinks into it.,Life
"You're only here for a short visit. Don't hurry, don't worry. And be sure to smell the flowers along the way.",Life
A life is not important except in the impact it has on other lives.,Life
"How far you go in life depends on your being tender with the young, compassionate with the aged, sympathetic with the striving and tolerant of the weak and strong. Because someday in your life you will have been all of these.",Life
Life ought to be a struggle of desire toward adventures whose nobility will fertilize the soul.,Life
A man who dares to waste one hour of time has not discovered the value of life.,Life
"I have found that if you love life, life will love you back.",Life
All the art of living lies in a fine mingling of letting go and holding on.,Life
"If you live long enough, you'll make mistakes. But if you learn from them, you'll be a better person. It's how you handle adversity, not how it affects you. The main thing is never quit, never quit, never quit.",Life
"Life is short and we have never too much time for gladdening the hearts of those who are travelling the dark journey with us. Oh be swift to love, make haste to be kind.",Life
You will never be happy if you continue to search for what happiness consists of. You will never live if you are looking for the meaning of life.,Life
We live in a rainbow of chaos.,Life
"Life is 10 percent what you make it, and 90 percent how you take it.",Life
Growth is the only evidence of life.,Life
The only disability in life is a bad attitude.,Life
We can't plan life. All we can do is be available for it.,Life
Life isn't about finding yourself. Life is about creating yourself.,Life
Life is never easy for those who dream.,Life
Surprise is the greatest gift which life can grant us.,Life
It's all about quality of life and finding a happy balance between work and friends and family.,Life
"Life is what we make it, always has been, always will be.",Life
Nobody made a greater mistake than he who did nothing because he could do only a little.,Life
"Make space in your life for the things that matter, for family and friends, love and generosity, fun and joy. Without this, you will burn out in mid-career and wonder where your life went.",Life
"Life is not a problem to be solved, but a reality to be experienced.",Life
"Good friends, good books and a sleepy conscience: this is the ideal life.",Life
"I slept and dreamt that life was joy. I awoke and saw that life was service. I acted and behold, service was joy.",Life
Life is a lot like jazz... it's best when you improvise.,Life
"You have enemies? Good. That means you've stood up for something, sometime in your life.",Life
Life is ten percent what happens to you and ninety percent how you respond to it.,Life
"Very little is needed to make a happy life; it is all within yourself, in your way of thinking.",Life
Life is a lively process of becoming.,Life
"Our prime purpose in this life is to help others. And if you can't help them, at least don't hurt them.",Life
"A life spent making mistakes is not only more honorable, but more useful than a life spent doing nothing.",Life
Life is a series of natural and spontaneous changes. Don't resist them - that only creates sorrow. Let reality be reality. Let things flow naturally forward in whatever way they like.,Life
The art of life is to know how to enjoy a little and to endure very much.,Life
"Life isn't a matter of milestones, but of moments.",Life
"What do we live for, if not to make life less difficult for each other?",Life
Life is a zoo in a jungle.,Life
Into each life some rain must fall.,Life
The most satisfying thing in life is to have been able to give a large part of one's self to others.,Life
I arise in the morning torn between a desire to improve the world and a desire to enjoy the world. This makes it hard to plan the day.,Life
"We are here to add what we can to life, not to get what we can from life.",Life
"To live is to change, and to be perfect is to have changed often.",Life
The good life is one inspired by love and guided by knowledge.,Life
The price of anything is the amount of life you exchange for it.,Life
All life is an experiment. The more experiments you make the better.,Life
Life consists not in holding good cards but in playing those you hold well.,Life
The greatest use of a life is to spend it on something that will outlast it.,Life
"Life's most persistent and urgent question is, 'What are you doing for others?'",Life
The purpose of our lives is to be happy.,Life
"Life is really simple, but we insist on making it complicated.",Life
"Life is a succession of moments, to live each one is to succeed.",Life
"While there's life, there's hope.",Life
Don't go around saying the world owes you a living. The world owes you nothing. It was here first.,Life
Life is a long lesson in humility.,Life
The true secret of happiness lies in taking a genuine interest in all the details of daily life.,Life
"Throughout life people will make you mad, disrespect you and treat you bad. Let God deal with the things they do, cause hate in your heart will consume you too.",Life
"Life is a series of collisions with the future; it is not the sum of what we have been, but what we yearn to be.",Life
"Life is a tragedy when seen in close-up, but a comedy in long-shot.",Life
"Life is growth. If we stop growing, technically and spiritually, we are as good as dead.",Life
The most important thing is to enjoy your life - to be happy - it's all that matters.,Life
"All theory, dear friend, is gray, but the golden tree of life springs ever green.",Life
Life is too short for long-term grudges.,Life
"There are three constants in life... change, choice and principles.",Life
Only a life lived for others is a life worthwhile.,Life
"It's only when we truly know and understand that we have a limited time on earth - and that we have no way of knowing when our time is up, we will then begin to live each day to the fullest, as if it was the only one we had.",Life
"Life is made up of sobs, sniffles, and smiles, with sniffles predominating.",Life
One way to get the most out of life is to look upon it as an adventure.,Life
"It is not length of life, but depth of life.",Life
The indispensable first step to getting the things you want out of life is this: decide what you want.,Life
"The story of life is quicker than the blink of an eye, the story of love is hello, goodbye.",Life
How sweet it is!,Life
"Everything has been figured out, except how to live.",Life
"Life is so fresh, life is every day so new if we are fighting, only for the best. Sometimes I think the only real satisfaction in life is failure, failure in your endeavor to do your best.",Life
What a wonderful life I've had! I only wish I'd realized it sooner.,Life
"To me, if life boils down to one thing, it's movement. To live is to keep moving.",Life
Find ecstasy in life; the mere sense of living is joy enough.,Life
He not busy being born is busy dying.,Life
It takes half your life before you discover life is a do-it-yourself project.,Life
Doing what you love is the cornerstone of having abundance in your life.,Life
The greatest pleasure of life is love.,Life
"If life were predictable it would cease to be life, and be without flavor.",Life
A baby is God's opinion that life should go on.,Life
Life imitates art far more than art imitates Life.,Life
There is more to life than increasing its speed.,Life
"Life is a succession of lessons which must be lived to be understood. All is riddle, and the key to a riddle is another riddle.",Life
"There may be aliens in our Milky Way galaxy, and there are billions of other galaxies. The probability is almost certain that there is life somewhere in space.",Life
Our truest life is when we are in dreams awake.,Life
All of life is peaks and valleys. Don't let the peaks get too high and the valleys too low.,Life
Life would be tragic if it weren't funny.,Life
"Nearly all the best things that came to me in life have been unexpected, unplanned by me.",Life
You have succeeded in life when all you really want is only what you really need.,Life
Maybe that's what life is... a wink of the eye and winking stars.,Life
"Here is the test to find whether your mission on Earth is finished: if you're alive, it isn't.",Life
"Life's like a play: it's not the length, but the excellence of the acting that matters.",Life
Give me the luxuries of life and I will willingly do without the necessities.,Life
Any idiot can face a crisis - it's day to day living that wears you out.,Life
"This life, which had been the tomb of his virtue and of his honour, is but a walking shadow; a poor player, that struts and frets his hour upon the stage, and then is heard no more: it is a tale told by an idiot, full of sound and fury, signifying nothing.",Life
The difficulty in life is the choice.,Life
"I still find each day too short for all the thoughts I want to think, all the walks I want to take, all the books I want to read, and all the friends I want to see.",Life
"The greatest trap in our life is not success, popularity or power, but self-rejection.",Life
Our life is what our thoughts make it.,Life
"When I hear somebody sigh, 'Life is hard,' I am always tempted to ask, 'Compared to what?'",Life
